conflict_id	id_ep	gwnoloc	year	mon	location	sidea	sidea2nd	sideb	sideb2nd	mission	PKOdum	osvAll	osvAllLagDum	osvreb1	osvreb1Lag	osvreb1LagDum	osvgov	osvgovLag	osvgovLagDum	troopLag	policeLag	militaryobserversLag	brv_AllLag	brv_bLag	brv_aLag	incomp	epduration	lntpop	PKOatsomept_con	unscres_prearrivalLag	unscresLag	active_year	ceasefire	pocmandate	robustmandate
70.0	701	530	1992	8.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	20.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1992	9.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	21.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1992	10.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	22.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1992	11.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	23.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1992	12.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	24.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	1.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	25.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	2.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	26.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	3.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	27.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	4.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	28.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	5.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	29.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	6.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	30.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	7.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	31.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	8.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	32.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	9.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	26.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	33.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	10.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	1.0	0.0	0.0	0.0	0.0	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2	34.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
70.0	701	530	1993	11.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	35.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
